,id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
1725,3abf334dffa58891434802c89d6deb50,krakow,blockOfFlats,60.0,3.0,1.0,4.0,2020.0,50.014114,19.902962,5.23,11.0,0.417,0.128,0.476,0.256,0.332,3.493,0.489,condominium,,premium,yes,yes,no,no,yes,4000
1726,2586d521cf2bc213ec2229b180032fdc,krakow,apartmentBuilding,34.0,1.0,1.0,4.0,,50.093935,19.9288559,4.35,19.0,0.177,0.516,0.297,0.101,0.449,1.156,0.088,condominium,brick,,no,yes,yes,no,no,2200
1727,b8a42ef5ee4e6760222df04bd387b92d,krakow,blockOfFlats,41.0,2.0,1.0,4.0,2023.0,50.06389036,19.96973667,2.43,20.0,0.341,0.492,0.614,0.176,0.153,0.567,0.317,condominium,,premium,yes,yes,yes,no,no,2900
1728,e498fb1cd94ab30601819f9bb0bbe808,krakow,blockOfFlats,54.0,2.0,1.0,4.0,1962.0,50.0449757,19.9509326,1.45,41.0,0.115,0.674,0.04,0.489,0.044,0.934,0.113,condominium,brick,,no,yes,no,no,yes,2950
1729,dd284873cfb7b59b0619d95ca46379bd,krakow,apartmentBuilding,52.0,2.0,1.0,4.0,2010.0,50.0641633,19.9699622,2.46,20.0,0.363,0.491,0.646,0.2,0.125,0.579,0.314,condominium,brick,,no,yes,yes,yes,no,2900
1730,1e4e1b59dc14b58785399a1937fd2e96,krakow,blockOfFlats,38.1,2.0,1.0,3.0,2003.0,50.0981,19.9548,4.9,7.0,0.646,0.642,0.326,0.517,0.234,2.401,0.311,condominium,,,yes,yes,no,no,no,2250
1731,0dd05959a7e7b4c4877182256eba3497,krakow,,32.0,1.0,1.0,2.0,2022.0,50.06554,19.84381,6.85,1.0,0.964,3.387,1.774,2.482,0.312,3.728,2.18,condominium,,,yes,yes,no,yes,no,2800
1732,4e97c8ba059aa09c77562d8071ef9935,krakow,blockOfFlats,40.0,2.0,4.0,4.0,2023.0,50.0232,19.9063,4.24,13.0,0.737,0.39,0.489,0.13,0.217,2.46,0.338,condominium,,premium,yes,yes,yes,yes,yes,3200
1733,77136322b681e1b4ccdd567946ea2fcd,krakow,apartmentBuilding,27.0,1.0,1.0,4.0,,50.0508888,19.9383313,0.49,88.0,0.24,0.483,0.192,0.202,0.051,0.299,0.252,condominium,brick,premium,no,yes,yes,no,no,3000
1734,94e2008d906031ac44d6304ca5ccad8d,krakow,apartmentBuilding,30.0,1.0,5.0,5.0,,50.0646807,19.9289699,1.24,80.0,0.114,0.366,0.328,0.041,0.088,0.186,0.168,condominium,brick,,yes,yes,yes,no,no,2950
1735,61e9bfe223b3f31f6b278b9566cf8585,krakow,,25.0,1.0,1.0,2.0,2022.0,50.06554,19.84381,6.85,1.0,0.964,3.387,1.774,2.482,0.312,3.728,2.18,condominium,,,yes,yes,no,yes,no,2300
1736,16991d9630fe84a486515e2ebbcf92b0,krakow,apartmentBuilding,125.0,6.0,1.0,2.0,2016.0,50.1113932,19.9112046,6.53,0.0,0.576,2.556,0.993,0.971,1.239,3.37,1.053,condominium,brick,premium,yes,yes,no,no,no,5700
1737,a3020ad4bf6be6b9d44997dc090b3754,krakow,blockOfFlats,49.0,2.0,14.0,14.0,2001.0,50.0887939,19.9259967,3.83,17.0,0.218,0.56,0.18,0.151,0.401,0.645,0.165,condominium,,,yes,yes,yes,no,no,2600
1738,343297a6bdbe7e065564bf2656fba3b1,krakow,apartmentBuilding,45.0,2.0,4.0,4.0,,50.0991,19.9824,5.79,1.0,1.121,1.977,0.746,0.47,0.532,1.611,0.766,condominium,brick,,yes,yes,yes,no,no,2900
1739,522789407954871dfa9b84c5d8190701,krakow,blockOfFlats,42.0,2.0,,4.0,2008.0,50.0991543,19.9531326,4.99,5.0,0.708,0.787,0.475,0.524,0.109,2.398,0.456,condominium,,,yes,yes,no,no,no,2000
1740,d39dfeca42f32d6308d287a58ad8f65a,krakow,blockOfFlats,50.0,2.0,,4.0,1983.0,50.0475,19.9264,1.22,22.0,0.211,0.86,0.39,0.102,0.112,0.716,0.198,condominium,brick,,yes,no,yes,no,no,2400
1741,b1caa4921d66178c3881f49ba2684c4f,krakow,blockOfFlats,50.0,2.0,2.0,3.0,2001.0,50.0792,19.9311,2.71,14.0,0.171,0.284,0.494,0.433,0.359,0.493,0.477,condominium,,,yes,yes,no,no,no,2400
1742,85982670fba53c1d4abcef522555fd5f,krakow,blockOfFlats,51.0,2.0,1.0,8.0,2000.0,50.0865,19.9261,3.58,18.0,0.175,0.678,0.329,0.153,0.613,0.425,0.037,condominium,,,no,no,yes,no,yes,2200
1743,96e29dc75894d7af3d073ccbafd6e7bf,krakow,,50.0,2.0,1.0,5.0,2023.0,50.0778212,19.8687489,5.57,2.0,0.772,1.191,1.191,0.949,0.295,1.936,1.074,condominium,,premium,no,yes,yes,no,no,3300
